,MTH,DEALER_ID,LISTING_AD_ID,LISTING_NEW_USED,LISTING_MANUFACTURER,LISTING_TYPE,DMA_NAME,REALM_NAME,CUSTOMER_TYPE,INVENTORY,SRPS,VDPS,WEBREFERRALS,MAPS,EMAIL
5999,2,2934876,5006412517,N,CHAMPION,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
72572,3,2934876,5006412519,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,17,0,0,0,0
140106,2,2934876,5006412519,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,1,0,0,0,0
163520,2,2934876,5006412520,N,ELKHART COACH,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
119642,3,2934876,5006412520,N,ELKHART COACH,STANDARD,atlanta,Commercial Truck,DEALER,1,21,1,0,0,0
138385,2,2934876,5006412521,U,CAIO,STANDARD,atlanta,Commercial Truck,DEALER,1,15,1,0,0,0
108999,3,2934876,5006412521,U,CAIO,STANDARD,atlanta,Commercial Truck,DEALER,1,38,1,0,0,0
124851,2,2934876,5006412522,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,3,0,0,0,0
102096,3,2934876,5006412522,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,36,0,0,0,0
58604,3,2934876,5006412523,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,21,0,0,0,0
842,2,2934876,5006412523,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,4,0,0,0,0
182691,3,2934876,5006412524,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,42,0,0,0,0
147017,2,2934876,5006412524,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,5,0,0,0,0
191704,2,2934876,5006412526,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,9,0,0,0,0
62056,3,2934876,5006412526,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,25,0,0,0,0
41218,3,2934876,5006412527,U,GLAVAL,STANDARD,atlanta,Commercial Truck,DEALER,1,56,2,0,0,0
195472,2,2934876,5006412527,U,GLAVAL,STANDARD,atlanta,Commercial Truck,DEALER,1,16,0,0,0,0
22479,2,2934876,5006412528,U,GLAVAL,STANDARD,atlanta,Commercial Truck,DEALER,1,30,0,0,0,0
27230,3,2934876,5006412528,U,GLAVAL,STANDARD,atlanta,Commercial Truck,DEALER,1,143,2,3,1,0
18876,3,2934876,5006412530,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,18,0,0,0,0
133085,2,2934876,5006412530,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,25,0,0,0,0
136241,3,2934876,5006412531,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,17,0,0,0,0
118246,2,2934876,5006412531,N,OTHER,STANDARD,atlanta,Commercial Truck,DEALER,1,50,0,0,0,0
59101,3,2934876,5006412532,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,23,0,0,0,0
75487,2,2934876,5006412532,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
14600,3,2934876,5006412535,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,26,0,0,0,0
186766,2,2934876,5006412535,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,7,0,0,0,0
19144,3,2934876,5006412536,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,31,1,0,0,0
152046,2,2934876,5006412536,U,ELDORADO NATIONAL,STANDARD,atlanta,Commercial Truck,DEALER,1,8,0,0,0,0
151650,2,2795378,5006412991,U,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
172080,3,2795378,5006412992,U,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
111533,2,2795378,5006412992,U,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
13880,4,2795378,5006412992,U,FORD,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
140346,3,2795378,5006412996,U,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
194825,2,2795378,5006412996,U,CHEVROLET,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
6348,3,2795378,5006413000,U,GMC,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
169458,2,2795378,5006413000,U,GMC,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
194055,4,2795378,5006413000,U,GMC,STANDARD,atlanta,Commercial Truck,DEALER,1,0,0,0,0,0
